Wall time,Step,Value
1740881322.731927,100,0.19855515658855438
1740881364.633656,200,0.15673863887786865
1740881406.647993,300,0.16463784873485565
1740881449.964369,400,0.23902912437915802
1740881492.102971,500,0.11495934426784515
1740881534.085398,600,0.1907365471124649
1740881576.23646,700,0.1359710991382599
1740881618.614022,800,0.13281017541885376
1740881661.12891,900,0.17429500818252563
1740881703.522558,1000,0.08262541145086288
1740881746.808168,1100,0.1024201363325119
1740881788.823072,1200,0.13396871089935303
1740881830.7794,1300,0.0940098837018013
1740881872.716374,1400,0.0749279111623764
1740881914.70873,1500,0.09325549006462097
1740881956.693786,1600,0.09660481661558151
1740881998.696404,1700,0.10317390412092209
1740882040.787411,1800,0.06838031113147736
1740882083.001562,1900,0.1300547868013382
1740882125.009936,2000,0.11802683025598526
1740882167.934091,2100,0.08429893851280212
1740882209.966993,2200,0.13688310980796814
1740882251.943796,2300,0.08518309891223907
1740882293.942566,2400,0.07141132652759552
1740882336.071456,2500,0.06322438269853592
1740882378.128363,2600,0.10763856768608093
1740882420.139372,2700,0.042418014258146286
1740882462.18051,2800,0.0591401569545269
1740882504.079359,2900,0.08061152696609497
1740882546.051435,3000,0.11679624021053314
1740882589.082528,3100,0.14158760011196136
1740882631.041091,3200,0.07176817208528519
1740882673.037285,3300,0.12318215519189835
1740882714.996505,3400,0.06670308858156204
1740882756.931779,3500,0.06537166982889175
1740882798.888611,3600,0.06327176839113235
1740882840.837533,3700,0.05491878092288971
1740882882.90565,3800,0.05404120311141014
1740882924.983685,3900,0.06572256237268448
1740882967.015125,4000,0.07442375272512436
1740883011.31603,4100,0.08406680077314377
1740883054.292581,4200,0.05138079449534416
1740883097.374573,4300,0.06741827726364136
1740883140.79314,4400,0.07506069540977478
1740883183.882646,4500,0.1279681771993637
1740883226.441617,4600,0.06870342791080475
1740883268.64254,4700,0.05546894669532776
1740883310.687419,4800,0.08082623034715652
1740883352.610801,4900,0.07368825376033783
1740883394.561962,5000,0.04304913803935051
1740883437.550176,5100,0.06160533428192139
1740883479.498746,5200,0.05595483258366585
1740883521.488802,5300,0.10446400195360184
1740883563.575457,5400,0.0577651783823967
1740883605.612263,5500,0.05213506519794464
1740883647.596792,5600,0.05698113143444061
1740883689.527055,5700,0.07895330339670181
1740883731.45828,5800,0.09273255616426468
1740883773.535832,5900,0.04310642182826996
1740883815.573817,6000,0.04372221976518631
1740883858.628422,6100,0.05743291974067688
1740883900.651131,6200,0.0443916842341423
1740883942.677975,6300,0.06536909192800522
1740883984.665404,6400,0.056727830320596695
1740884026.623623,6500,0.04101806506514549
1740884068.574762,6600,0.07381889969110489
1740884110.593572,6700,0.0669194683432579
1740884152.765106,6800,0.06986142694950104
1740884194.84656,6900,0.059377074241638184
1740884236.847506,7000,0.03963441029191017
1740884279.940389,7100,0.050275757908821106
1740884321.922373,7200,0.051684606820344925
1740884363.881352,7300,0.056205831468105316
1740884405.830778,7400,0.05395662784576416
1740884447.832022,7500,0.047981467097997665
1740884489.839687,7600,0.0371200330555439
1740884531.853336,7700,0.04996762424707413
1740884573.804329,7800,0.05210261046886444
1740884615.897562,7900,0.05923296511173248
1740884657.754398,8000,0.06354260444641113
1740884700.563459,8100,0.07247276604175568
1740884742.55771,8200,0.03999459370970726
1740884784.575837,8300,0.046099890023469925
1740884826.637298,8400,0.046299975365400314
1740884868.611851,8500,0.0769076868891716
1740884910.675939,8600,0.04410072788596153
1740884952.765248,8700,0.04398849979043007
1740884994.769883,8800,0.08300510048866272
1740885036.81651,8900,0.04432552307844162
1740885078.931078,9000,0.0449553020298481
1740885121.86551,9100,0.0803491398692131
1740885163.795557,9200,0.046678535640239716
1740885205.822562,9300,0.08167160302400589
1740885247.798805,9400,0.05459274351596832
1740885289.767355,9500,0.0657767802476883
1740885331.836772,9600,0.06861066818237305
1740885373.715156,9700,0.035697970539331436
1740885415.681413,9800,0.05236952751874924
1740885457.690817,9900,0.04864712059497833
1740885499.692105,10000,0.039076533168554306
1740885542.828434,10100,0.03095376491546631
1740885584.772481,10200,0.0639461800456047
1740885626.757313,10300,0.08820664882659912
1740885668.780692,10400,0.055559709668159485
1740885710.829479,10500,0.06700457632541656
1740885752.798876,10600,0.03899278864264488
1740885795.01682,10700,0.06260397285223007
1740885837.5533,10800,0.044901542365550995
1740885880.064316,10900,0.026410816237330437
1740885922.587212,11000,0.0637066438794136
1740885966.442518,11100,0.04562481865286827
1740886009.109897,11200,0.020683864131569862
1740886051.84875,11300,0.05857446789741516
1740886094.141317,11400,0.04336857423186302
1740886136.170412,11500,0.06469010561704636
1740888157.384267,11100,0.06318923085927963
1740888195.826833,11200,0.041481468826532364
1740888234.055249,11300,0.030832508578896523
1740888272.527985,11400,0.08254403620958328
1740888311.030046,11500,0.0672980397939682
1740888349.378102,11600,0.03332643210887909
1740888387.900724,11700,0.04620566591620445
1740888426.408072,11800,0.05961738899350166
1740888464.88374,11900,0.026482975110411644
1740888503.258169,12000,0.0561104342341423
1740888542.714377,12100,0.0570048913359642
1740888581.076461,12200,0.04634057357907295
1740888619.553211,12300,0.021282969042658806
1740888657.863723,12400,0.05367909371852875
1740888696.426764,12500,0.04019609093666077
1740888734.743578,12600,0.07500433921813965
1740888773.145636,12700,0.03942859545350075
1740888811.472898,12800,0.041714295744895935
1740888849.889592,12900,0.05962105095386505
